latitude,longitude,latbin,lonbin,tp
29.125,269.75,29.125,269.75,12.9
29.125,269.875,29.125,269.875,14.0
29.125,270.0,29.125,270.0,12.7
29.125,270.125,29.125,270.125,11.6
29.125,270.25,29.125,270.25,12.4
29.125,270.375,29.125,270.375,15.8
29.25,269.5,29.25,269.5,16.2
29.25,269.625,29.25,269.625,20.6
29.25,269.75,29.25,269.75,25.3
29.25,269.875,29.25,269.875,27.3
29.25,270.0,29.25,270.0,21.6
29.25,270.125,29.25,270.125,17.6
29.25,270.25,29.25,270.25,16.7
29.25,270.375,29.25,270.375,19.1
29.25,270.5,29.25,270.5,23.9
29.25,270.625,29.25,270.625,27.3
29.375,269.375,29.375,269.375,28.5
29.375,269.5,29.375,269.5,29.2
29.375,269.625,29.375,269.625,31.7
29.375,269.75,29.375,269.75,32.4
29.375,269.875,29.375,269.875,31.7
29.375,270.0,29.375,270.0,26.1
29.375,270.125,29.375,270.125,21.4
29.375,270.25,29.375,270.25,20.0
29.375,270.375,29.375,270.375,20.4
29.375,270.5,29.375,270.5,23.6
29.375,270.625,29.375,270.625,25.8
29.375,270.75,29.375,270.75,26.8
29.5,269.25,29.5,269.25,29.5
29.5,269.375,29.5,269.375,34.3
29.5,269.5,29.5,269.5,37.4
29.5,269.625,29.5,269.625,35.2
29.5,269.75,29.5,269.75,32.1
29.5,269.875,29.5,269.875,29.2
29.5,270.0,29.5,270.0,30.7
29.5,270.125,29.5,270.125,34.3
29.5,270.25,29.5,270.25,30.3
29.5,270.375,29.5,270.375,25.4
29.5,270.5,29.5,270.5,22.5
29.5,270.625,29.5,270.625,23.9
29.5,270.75,29.5,270.75,25.2
29.5,270.875,29.5,270.875,27.2
29.625,269.25,29.625,269.25,32.5
29.625,269.375,29.625,269.375,37.7
29.625,269.5,29.625,269.5,37.4
29.625,269.625,29.625,269.625,33.0
29.625,269.75,29.625,269.75,35.5
29.625,269.875,29.625,269.875,30.7
29.625,270.0,29.625,270.0,32.3
29.625,270.125,29.625,270.125,35.7
29.625,270.25,29.625,270.25,35.4
29.625,270.375,29.625,270.375,24.8
29.625,270.5,29.625,270.5,22.4
29.625,270.625,29.625,270.625,23.7
29.625,270.75,29.625,270.75,26.1
29.625,270.875,29.625,270.875,28.1
29.75,269.125,29.75,269.125,26.8
29.75,269.25,29.75,269.25,30.3
29.75,269.375,29.75,269.375,35.0
29.75,269.5,29.75,269.5,35.1
29.75,269.625,29.75,269.625,34.3
29.75,269.75,29.75,269.75,34.5
29.75,269.875,29.75,269.875,35.3
29.75,270.0,29.75,270.0,35.5
29.75,270.125,29.75,270.125,33.7
29.75,270.25,29.75,270.25,32.3
29.75,270.375,29.75,270.375,28.6
29.75,270.5,29.75,270.5,22.4
29.75,270.625,29.75,270.625,24.1
29.75,270.75,29.75,270.75,27.4
29.75,270.875,29.75,270.875,29.6
29.75,271.0,29.75,271.0,30.3
29.875,269.125,29.875,269.125,35.1
29.875,269.25,29.875,269.25,38.7
29.875,269.375,29.875,269.375,37.7
29.875,269.5,29.875,269.5,36.9
29.875,269.625,29.875,269.625,36.4
29.875,269.75,29.875,269.75,33.1
29.875,269.875,29.875,269.875,36.3
29.875,270.0,29.875,270.0,36.8
29.875,270.125,29.875,270.125,36.5
29.875,270.25,29.875,270.25,33.6
29.875,270.375,29.875,270.375,33.8
29.875,270.5,29.875,270.5,32.7
29.875,270.625,29.875,270.625,29.8
29.875,270.75,29.875,270.75,25.4
29.875,270.875,29.875,270.875,26.7
29.875,271.0,29.875,271.0,26.8
30.0,269.125,30.0,269.125,36.8
30.0,269.25,30.0,269.25,38.6
30.0,269.375,30.0,269.375,38.9
30.0,269.5,30.0,269.5,38.1
30.0,269.625,30.0,269.625,37.0
30.0,269.75,30.0,269.75,38.4
30.0,269.875,30.0,269.875,38.5
30.0,270.0,30.0,270.0,34.8
30.0,270.125,30.0,270.125,40.9
30.0,270.25,30.0,270.25,41.5
30.0,270.375,30.0,270.375,38.7
